"","N1","N2","N3","N4","T1","T2","T3","T4"
"CLU",185.677,157.87275,134.354,150.355,5490.21,1544.781,3195.6855,11603.025
"DCN",180.01,350.99295,231.923,334.279,3431.83,1313.5185,2445.891,5766.432
"FP15737",176.216,153.89955,444.848,146.571,30.2281,11.074245,12.294345,26.392905
"PRG2",173.425,197.2929,498.662,187.898,19.2597,18.600435,23.8203,20.59806
"TFRC",164.632,158.23605,185.488,150.701,22.7449,29.493975,19.38468,40.25595
"HIST1H4L",156.56,162.9096,381.514,155.152,19.1445,27.570165,19.917555,14.333025
"SLC25A15",148.732,3.778173,3.28209,3.59826,2.38027,3.7355745,2.901087,3.4458795
"ADIPOQ",144.362,45.434865,13.5412,43.2713,59.0411,3.111108,12.683685,6.8074965
"SORBS1",124.993,46.335975,23.0851,44.1295,45.2365,6.766452,8.637825,5.898228
"SERPINF1",119.953,151.6998,112.418,144.476,304.763,645.9453,620.4891,517.99335
"ENO1",117.131,130.69245,175.764,124.469,169.164,426.9615,263.81145,636.08055
"S100A4",116.335,125.37945,184.916,119.409,305.088,539.36085,697.54335,613.29345
"EPB41",97.738,87.67122,221.184,83.4964,21.4157,6.596562,4.176039,12.300855
"PRKAR2B",97.5312,32.987325,26.9241,31.4165,28.3835,3.814104,8.318856,5.6102655
"LUM",97.4874,378.60375,126.795,360.575,1716.8,1993.656,3216.654,5872.104
"RETSAT",97.3031,29.390655,22.9139,27.9911,44.4505,16.01082,21.457275,21.05439
"USP15",96.4992,106.31355,153.825,101.251,42.4614,32.95551,36.61098,31.78917
"MAOA",94.8625,24.489885,18.3006,23.3237,31.4506,4.3815765,15.90813,6.165684
"COL3A1",91.3767,170.6376,110.708,162.512,1e-04,1e-04,1e-04,1e-04
"HBA1",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"COL1A2",90.9849,589.93515,113.113,561.843,1e-04,1e-04,1e-04,1e-04
"MGP",89.2451,200.82405,119.37,191.261,1593.4,609.1218,999.05295,1616.7585
"ANXA3",74.5234,85.70982,142.506,81.6284,5.6088,0.57684375,1.370229,0.56842905
"ACACB",70.2203,46.230135,57.7973,44.0287,60.2606,19.122075,51.968805,20.107395
"CSF3R",68.694,76.037325,148.721,72.4165,12.0541,5.3242665,4.1802285,3.4769175
"S100A10",59.1335,38.307885,52.448,36.4837,132.049,250.1205,310.0755,290.1066
"MYO1F",46.6029,45.83985,83.5861,43.657,11.4689,8.6548455,8.2613265,9.311463
"IVNS1ABP",46.4181,57.283275,58.6207,54.5555,114.272,72.220365,72.69948,225.6135
"NTRK2",46.1615,27.59001,18.2346,26.2762,26.4421,10.77447,15.694875,9.2352225
"MAN2A2",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"FMO3",45.5796,37.39491,38.1139,35.6142,19.6798,5.1112425,8.537277,3.745224
"PAM",38.4146,37.23783,24.4683,35.4646,152.173,205.62675,182.2905,215.1219
"HTRA1",38.2778,50.7171,24.3684,48.302,338.406,851.823,607.5069,1068.081
"ARF4",38.1576,42.96831,47.1219,40.9222,58.3192,157.06425,89.7729,105.3885
"ABCB10",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"LTBP1",29.8679,34.40052,32.6385,32.7624,47.2461,66.90306,70.609875,112.61145
"SEMA3G",29.3291,9.689778,8.89327,9.22836,17.9816,3.1882935,6.7000605,4.2684705
"TIMP1",29.3025,38.69775,59.2578,36.855,154.467,430.8003,321.32415,293.3427
"GPNMB",24.275,39.399465,15.5844,37.5233,67.6069,114.8511,146.42565,74.188485
"CD9",24.2583,26.22627,21.3196,24.9774,110.119,118.80435,205.8273,256.47405
"CTSF",23.8411,15.98373,11.4687,15.2226,48.2468,39.69294,40.109895,67.95369
"PLOD2",23.6397,14.091945,6.28328,13.4209,82.4697,159.3207,75.617535,297.05445
"GJA1",22.9951,39.70638,19.7524,37.8156,72.0552,367.8381,140.95515,192.3978
"COL5A2",22.7014,52.846185,13.8923,50.3297,159.74,873.70185,420.45675,615.8502
"FMOD",16.3054,14.870415,10.2944,14.1623,302.807,359.19135,296.47485,1528.506
"LRRK2",16.1275,18.413535,24.3896,17.5367,8.29,4.280241,5.8700565,3.4265175
"UBAP2",15.9562,14.71722,258.454,14.0164,24.4149,16.854285,22.268505,20.749995
"GAPT",15.7978,17.85987,42.1524,17.0094,2.51252,0.99838095,2.9281455,0.5998776
"MYO1B",15.665,27.396075,11.2039,26.0915,49.2162,100.15614,91.148505,77.983815
"FAM46A",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"TRPS1",14.1292,14.024115,10.777,13.3563,54.1198,77.0805,60.956175,151.4247
"LRMP",13.9604,18.91554,23.6342,18.0148,6.32682,4.964211,3.521238,3.7865415
"SGK1",13.9069,15.11265,21.687,14.393,34.1047,45.035025,36.00807,91.161105
"SULF1",13.8743,14.636685,13.7438,13.9397,75.9448,102.3729,107.2365,220.34355
"DST",42.4089,42.05523,26.0509,40.0526,76.6574,108.9102,86.286165,165.61965
"PTK2B",42.3569,46.446225,62.5433,44.2345,16.8845,9.636879,15.30228,11.117295
"SDC2",42.1534,37.452345,13.452,35.6689,164.797,191.2848,199.9977,317.8917
"MZB1",42.0182,26.70843,81.1957,25.4366,12.7543,0.8848035,3.47067,0.8389815
"CLEC12A",41.6873,48.63306,88.714,46.3172,8.39833,2.073372,2.2274385,2.180346
"COL1A1",41.6338,795.1608,55.1363,757.296,1e-04,1e-04,1e-04,1e-04
"TMC6",40.9004,39.053595,56.4005,37.1939,12.762,6.9174945,4.364199,4.2450765
"ABCA8",44.6049,36.20967,28.1032,34.4854,41.0715,7.211421,15.01374,7.4608275
"MINOS1",44.112,43.48596,40.2975,41.4152,101.487,182.34405,174.0018,233.2722
"CPE",44.04,109.1601,22.2126,103.962,225.659,361.1685,254.3646,322.39515
"ANKH",37.422,31.004295,32.0934,29.5279,114.82,121.359,119.3178,306.18945
"DDC8-TIMP2",36.7785,50.66208,26.6826,48.2496,108.026,157.3236,129.05445,156.36285
"DMTN",36.4308,27.81597,76.5851,26.4914,4.48364,0.54052215,0.6493116,1.04356875
"CTC-490E21.12",36.0295,36.365595,50.2432,34.6339,152.048,125.47185,94.410855,266.637
"CA1",630.517,568.9698,1332.36,541.876,8.04587,0.91090125,0.5686107,2.0619165
"SPARC",440.993,1078.2345,218.947,1026.89,1e-04,1e-04,1e-04,1e-04
"S100A12",435.082,572.6805,1408.81,545.41,5.59473,0.2195865,0.8750364,0.3389841
"IGJ",393.979,337.52985,393.665,321.457,160.373,4.9941045,53.3589,5.2092705
"LEPR",324.902,236.87475,202.376,225.595,171.055,72.40737,77.455875,68.529825
"ADH1B",315.623,42.161595,30.2709,40.1539,93.7305,5.1410835,13.54542,18.861255
"MPO",227.977,291.8328,419.595,277.936,0.93935,0.16822995,0.000105,0.84048825
"MMD",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"MT1X",67.1142,8.418165,12.9459,8.0173,128.902,33.0309,272.8929,216.552
"CHRDL1",65.9184,50.78871,38.9162,48.3702,33.8983,3.0356235,12.34821,5.490366
"FOS",64.7025,18.140535,229.352,17.2767,581.951,263.4072,44.752365,476.0889
"RARRES2",64.5853,27.25464,22.0369,25.9568,35.697,17.332875,8.90694,13.74618
"LMNA",59.4415,49.86996,55.6563,47.4952,117.194,213.07545,205.233,233.52525
"MMP9",59.1592,106.63695,240.932,101.559,235.42,601.80015,444.90495,423.4797
"CCDC80",48.2735,44.943465,28.8274,42.8033,168.073,219.77025,143.64945,143.6946
"C1R",47.3165,94.642905,88.1743,90.1361,288.148,392.62125,413.9583,252.92505
"ITGA4",47.2028,48.94869,67.6438,46.6178,9.35485,10.61739,6.78783,6.2734455
"KCNIP2",40.8214,5.965722,11.2587,5.68164,14.6808,1.7916255,3.5968065,2.1520275
