gene,A1,A2,A3,B1,B2,B3
gene1,0.33,0.13,0.3,0.48,0.37,1.73
gene2,0,0,0.3,0.54,0.43,0.35
gene3,10.27,10.05,5.51,30.95,15.85,25.72
gene4,3.74,4.44,4.24,0.24,0.06,1.04
gene5,9.66,10.05,15.57,6.83,2.66,5.89
gene6,0.5,0.64,0.18,0.72,1.24,2.6
gene7,0.11,0,0.06,0.3,0.25,0.29
gene8,43.15,25.82,80.02,21.08,29.85,30.86
gene9,66.93,34.9,109.34,26.82,39.07,44.44
gene10,1.12,1.55,1.21,0.6,0.5,0.35
gene11,0.06,0.13,0,0.24,0.43,0.23
gene12,137.21,142.25,59.85,6.17,6.5,11.15
gene13,0.5,0.71,0.18,6.17,3.22,3.24
gene14,0.11,0.26,0.18,0.6,0.37,0.69
gene15,1.56,0.52,1.64,5.27,1.73,8.55
gene16,0.73,1.22,1.82,3.77,4.09,3.99
gene17,22.66,21.7,31.99,12.45,15.05,16.7
gene18,0.61,0.26,0.48,1.5,0.93,1.56
gene19,3.8,0.52,7.51,0.06,0.87,1.33
gene20,0.45,0.52,1.15,0.12,0.06,0.12
gene21,0.39,0.32,0.18,1.02,0.8,1.21
gene22,5.08,4.77,2.24,24.07,9.97,23.52
gene23,65.2,51.06,163.08,31.31,45.51,38.95
gene24,0.11,0.06,0,0.36,0.31,0.23
gene25,23.22,35.42,27.81,47.18,47.74,57.39
gene26,1.34,1.03,0.24,0.12,0.19,0.4
gene27,0.89,1.09,0.85,0.3,0.19,0.4
gene28,1.28,0.58,0.24,1.98,1.8,3.64
gene29,7.7,12.81,0.42,2.45,2.23,1.21
gene30,0.06,0.06,0.06,0.9,0.37,0.46
gene31,3.63,3.28,1.94,12.45,3.96,11.27
gene32,7.31,6.89,4.79,29.34,14.24,30.63
gene33,17.97,14.75,3.88,5.87,4.21,6.18
gene34,5.97,4.7,0.42,0,0.19,0.52
gene35,4.19,0,2.18,0.3,0.31,0.46
gene36,3.18,1.93,2.73,1.14,0.56,1.27
gene37,7.59,11.14,8.48,6.71,2.41,3.35
gene38,0.61,0.06,1.27,19.94,5.26,19.59
gene39,18.14,11.08,16.72,30.12,25.57,35.02
gene40,1.28,0.58,0.91,0.48,0.19,0.35
gene41,3.8,1.87,3.51,8.74,2.48,14.62
gene42,0.39,0.9,0.24,4.13,1.61,3.76
gene43,5.36,3.86,2.36,14.25,9.66,8.44
gene44,49.4,63.36,47.8,28.14,23.65,26.82
gene45,2.18,1.61,0.55,4.61,2.11,9.19
gene46,6.59,5.34,2.36,18.8,12.76,17.05
