name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	41	30	0.0
Buchnera aphidicola	9	species	591578	224	143	0.0
Cellulomonas gilvus	11	species	3526441	21	16	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	30	23	0.0
Pelobacter carbinolicus	19	species	3665893	10	7	0.0
Shewanella	22	genus	0	1	1	0.0
Shewanella putrefaciens	24	species	4749735	30	18	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcaceae	31	family	0	1	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	117	56	0.0
Myxococcus xanthus	34	species	9139763	67	33	0.0
Myxococcus macrosporus	35	species	8973512	81	33	0.0
Stigmatella aurantiaca	41	species	10260756	33	24	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	50	39	0.0
Archangium gephyra	48	species	12489432	64	50	0.0
Chondromyces crocatus	52	species	11388132	76	58	0.0
Sorangium cellulosum	56	species	14124497	236	176	0.0
Vitreoscilla	59	genus	0	1	0	0.0
Vitreoscilla filiformis	63	species	3787551	32	24	0.0
Lysobacter	68	genus	0	2	0	0.0
Lysobacter enzymogenes	69	species	6096022	71	51	0.0
Simonsiella muelleri	72	species	2469862	35	28	0.0
Caulobacter	75	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	60	44	0.0
Runella slithyformis	106	species	6919729	49	39	0.0
Spirosoma	107	genus	0	2	0	0.0
Planctomycetales	112	order	0	2	0	0.0
Gemmata	113	genus	0	26	0	0.0
Planctomyces	118	genus	0	10	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	22	20	0.0
Planctopirus limnophila	120	species	5460085	25	15	0.0
Pirellula staleyi	125	species	6196199	27	18	0.0
Planctomycetaceae	126	family	0	17	0	0.0
Isosphaera	127	genus	0	15	0	0.0
Isosphaera pallida	128	species	5529304	30	22	0.0
Borrelia	138	genus	0	3	0	0.0
Borreliella burgdorferi	139	species	1998154	34	22	0.0
