name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	1	1	0.0
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	27	19	0.0
Buchnera aphidicola	9	species	591578	159	120	0.0
Cellvibrio	10	genus	0	1	0	0.0
Cellulomonas gilvus	11	species	3526441	12	11	0.0
Dictyoglomus thermophilum	14	species	1959987	24	17	0.0
Pelobacter carbinolicus	19	species	3665893	14	12	0.0
Shewanella	22	genus	0	1	1	0.0
Shewanella putrefaciens	24	species	4749735	24	15	0.0
Myxococcales	29	order	0	2	0	0.0
Myxococcaceae	31	family	0	2	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	52	28	0.0
Myxococcus xanthus	34	species	9139763	30	25	0.0
Myxococcus macrosporus	35	species	8973512	28	10	0.0
Archangiaceae	39	family	0	1	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	20	17	0.0
Cystobacter fuscus	43	species	12349744	22	17	0.0
Archangium gephyra	48	species	12489432	25	15	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	33	19	0.0
Sorangium cellulosum	56	species	14124497	117	82	0.0
Vitreoscilla filiformis	63	species	3787551	20	11	0.0
Lysobacter	68	genus	0	2	0	0.0
Lysobacter enzymogenes	69	species	6096022	47	29	0.0
Simonsiella muelleri	72	species	2469862	37	27	0.0
Cyclobacterium marinum	104	species	6221273	40	29	0.0
Runella slithyformis	106	species	6919729	30	29	0.0
Gemmata	113	genus	0	8	0	0.0
Planctomyces	118	genus	0	6	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	20	14	0.0
Planctopirus limnophila	120	species	5460085	22	20	0.0
Pirellula staleyi	125	species	6196199	21	16	0.0
Planctomycetaceae	126	family	0	3	0	0.0
Isosphaera	127	genus	0	3	0	0.0
Isosphaera pallida	128	species	5529304	24	19	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Borrelia	138	genus	0	2	1	0.0
Borreliella burgdorferi	139	species	1998154	24	11	0.0
Borrelia hermsii	140	species	1156143	15	12	0.0
Borrelia parkeri	141	species	1030684	19	10	0.0
Borrelia turicatae	142	species	1165365	11	2	0.0
Borrelia anserina	143	species	1042690	11	6	0.0
Spirochaeta thermophila	154	species	2516433	9	4	0.0
Treponema	157	genus	0	1	0	0.0
Treponema denticola	158	species	2843201	29	15	0.0
Brachyspira hyodysenteriae	159	species	3048442	62	41	0.0
Treponema pallidum	160	species	1139203	6	0	0.0
Treponema succinifaciens	167	species	2897425	19	16	0.0
Leptospiraceae	170	family	0	1	0	0.0
Leptospira	171	genus	0	2	0	0.0
Leptospira biflexa	172	species	3953768	26	21	0.0
Leptospira interrogans	173	species	5299867	72	55	0.0
Leptospira borgpetersenii	174	species	3948532	45	31	0.0
Leptospirillum ferrooxidans	180	species	2559538	4	4	0.0
Azospirillum brasilense	192	species	13978806	67	41	0.0
Azospirillum lipoferum	193	species	7223069	88	59	0.0
Campylobacter	194	genus	0	3	0	0.0
Campylobacter coli	195	species	7280491	67	41	0.0
Campylobacter fetus	196	species	2083361	27	23	0.0
Campylobacter jejuni	197	species	7998700	91	66	0.0
Campylobacter hyointestinalis	198	species	1753331	27	18	0.0
Campylobacter concisus	199	species	1969727	23	17	0.0
Campylobacter curvus	200	species	1971270	19	16	0.0
Campylobacter lari	201	species	1576113	57	36	0.0
Campylobacter sputorum	206	species	1728969	40	32	0.0
Helicobacter	209	genus	0	1	0	0.0
Helicobacter pylori	210	species	2877908	148	117	0.0
Helicobacter acinonychis	212	species	1557588	8	4	0.0
Helicobacter cinaedi	213	species	2170766	16	14	0.0
Helicobacter felis	214	species	1672681	6	5	0.0
Helicobacter mustelae	217	species	1578097	9	8	0.0
Achromobacter	222	genus	0	11	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	29	4	0.0
Brucella	234	genus	0	30	21	0.0
Brucella abortus	235	species	6200071	2	0	0.0
Elizabethkingia meningoseptica	238	species	11750998	53	41	0.0
Chryseobacterium indologenes	253	species	15322966	99	80	0.0
Francisella tularensis	263	species	2860943	67	43	0.0
Paracoccus denitrificans	266	species	5236194	46	28	0.0
Thermus aquaticus	271	species	2338641	4	1	0.0
Thermus thermophilus	274	species	2199728	13	6	0.0
Meiothermus ruber	277	species	3097457	10	7	0.0
Xanthobacter autotrophicus	280	species	5625098	21	20	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	98	69	0.0
Pseudomonas	286	genus	0	97	36	0.0
Pseudomonas aeruginosa	287	species	33490364	169018	168117	0.0
Pseudoalteromonas atlantica	288	species	4428300	44	19	0.0
Burkholderia cepacia	292	species	17650414	447	103	0.0
Pseudomonas fluorescens	294	species	14826544	766	564	0.0
Pseudomonas fragi	296	species	10253943	28	8	0.0
Pseudomonas mendocina	300	species	6702726	142	74	0.0
Pseudomonas putida	303	species	9248003	423	220	0.0
Ralstonia solanacearum	305	species	14666114	121	84	0.0
Pseudomonas stutzeri	316	species	9231642	236	140	0.0
Pseudomonas syringae	317	species	9007236	150	82	0.0
Ralstonia pickettii	329	species	5276379	68	44	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	42	9	0.0
Burkholderia glumae	337	species	7333967	82	28	0.0
Xanthomonas	338	genus	0	15	2	0.0
Xanthomonas campestris	339	species	7252632	104	69	0.0
Xanthomonas translucens	343	species	4638247	39	25	0.0
Xanthomonas citri	346	species	27582413	115	63	0.0
Xanthomonas oryzae	347	species	27499458	50	34	0.0
Azotobacter	352	genus	0	1	0	0.0
Azotobacter chroococcum	353	species	5107670	49	25	0.0
Azotobacter vinelandii	354	species	5351632	51	30	0.0
Rhizobiales	356	order	0	6	0	0.0
Agrobacterium tumefaciens	358	species	12204343	76	36	0.0
Agrobacterium rhizogenes	359	species	5114384	23	16	0.0
Agrobacterium vitis	373	species	6320946	24	20	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Bradyrhizobium japonicum	375	species	14285121	54	39	0.0
Bradyrhizobium sp.	376	species	7547693	31	20	0.0
Rhizobium	379	genus	0	40	23	0.0
Sinorhizobium fredii	380	species	6844330	70	29	0.0
Mesorhizobium loti	381	species	7481739	39	29	0.0
Sinorhizobium meliloti	382	species	16976189	70	49	0.0
Rhizobium leguminosarum	384	species	10661761	157	108	0.0
Rhizobium phaseoli	396	species	47253275	51	21	0.0
Rhizobium tropici	398	species	6686334	27	23	0.0
Neorhizobium galegae	399	species	6434105	40	31	0.0
Methylobacillus flagellatus	405	species	2971517	10	7	0.0
Methylobacterium	407	genus	0	1	1	0.0
Methylobacterium extorquens	408	species	7205068	81	48	0.0
Methylococcus capsulatus	414	species	3304561	11	9	0.0
Methylomonas methanica	421	species	5051681	15	12	0.0
Methylosinus	425	genus	0	1	0	0.0
Methylosinus trichosporium	426	species	5183433	31	20	0.0
Acetobacteraceae	433	family	0	3	0	0.0
Acetobacter aceti	435	species	3725037	9	6	0.0
Acetobacter pasteurianus	438	species	3923629	43	27	0.0
Gluconobacter oxydans	442	species	4038076	23	14	0.0
Legionella	445	genus	0	1	0	0.0
Legionella pneumophila	446	species	27794251	168	131	0.0
Legionella hackeliae	449	species	3570857	23	22	0.0
Legionella longbeachae	450	species	6281519	28	17	0.0
Tatlockia micdadei	451	species	9836958	19	19	0.0
Legionella spiritensis	452	species	3348070	12	10	0.0
Acinetobacter	469	genus	0	2	0	0.0
Acinetobacter baumannii	470	species	22550484	165	96	0.0
Acinetobacter calcoaceticus	471	species	8244977	54	21	0.0
Moraxella catarrhalis	480	species	5768588	22	18	0.0
Neisseriaceae	481	family	0	1	0	0.0
Neisseria	482	genus	0	2	1	0.0
Neisseria gonorrhoeae	485	species	8294881	23	11	0.0
Neisseria lactamica	486	species	2183664	16	4	0.0
Neisseria meningitidis	487	species	9765549	62	37	0.0
Neisseria mucosa	488	species	2688408	11	3	0.0
Neisseria sicca	490	species	2783943	11	4	0.0
Neisseria elongata	495	species	2256647	10	8	0.0
Thermomicrobium roseum	500	species	2920744	7	6	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Alcaligenes faecalis	511	species	16449801	56	43	0.0
Bordetella	517	genus	0	5	0	0.0
Bordetella bronchiseptica	518	species	9103328	59	21	0.0
Bordetella parapertussis	519	species	6406911	32	5	0.0
Bordetella pertussis	520	species	237655209	18	2	0.0
Bordetella avium	521	species	3732255	18	10	0.0
Acidiphilium cryptum	524	species	3963080	30	7	0.0
Ochrobactrum	528	genus	0	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	19	12	0.0
Beijerinckia	532	genus	0	1	0	0.0
Beijerinckia indica	533	species	4418616	22	15	0.0
Chromobacterium violaceum	536	species	4568609	31	18	0.0
Eikenella corrodens	539	species	2192577	18	14	0.0
Zymomonas mobilis	542	species	2378539	30	21	0.0
Enterobacteriaceae	543	family	0	11	2	0.0
Citrobacter	544	genus	0	4	1	0.0
Citrobacter koseri	545	species	12203313	35	28	0.0
Citrobacter freundii	546	species	37135395	134	39	0.0
Enterobacter	547	genus	0	16	1	0.0
Klebsiella aerogenes	548	species	19493298	52	27	0.0
Pantoea agglomerans	549	species	9924096	35	20	0.0
Enterobacter cloacae	550	species	20949008	216	65	0.0
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3858195	14	7	0.0
Pantoea ananatis	553	species	5872423	33	27	0.0
Pectobacterium carotovorum	554	species	7373255	89	56	0.0
Escherichia	561	genus	0	2	0	0.0
Escherichia coli	562	species	27661575	2173	1913	0.0
Shimwellia blattae	563	species	4158725	20	15	0.0
Escherichia fergusonii	564	species	4643861	19	8	0.0
Hafnia	568	genus	0	1	0	0.0
Hafnia alvei	569	species	6928437	55	33	0.0
Klebsiella	570	genus	0	11	1	0.0
Klebsiella oxytoca	571	species	42961048	142	32	0.0
Klebsiella pneumoniae	573	species	42121877	248	113	0.0
Raoultella planticola	575	species	5823931	27	16	0.0
Morganella morganii	582	species	11874077	38	28	0.0
Proteus mirabilis	584	species	23312057	71	59	0.0
Proteus vulgaris	585	species	3961988	33	25	0.0
Providencia rettgeri	587	species	9407694	31	25	0.0
Providencia stuartii	588	species	13206092	36	27	0.0
Salmonella	590	genus	0	1	0	0.0
Serratia	613	genus	0	9	1	0.0
Serratia liquefaciens	614	species	7947058	42	28	0.0
Serratia marcescens	615	species	24300653	206	107	0.0
Shigella	620	genus	0	1	0	0.0
Shigella dysenteriae	622	species	4873338	69	19	0.0
Shigella flexneri	623	species	4828820	47	10	0.0
Xenorhabdus nematophila	628	species	4586662	38	25	0.0
Yersinia	629	genus	0	2	0	0.0
Yersinia enterocolitica	630	species	12732490	101	69	0.0
Yersinia intermedia	631	species	9820399	25	2	0.0
Yersinia pestis	632	species	7124135	28	7	0.0
Yersinia pseudotuberculosis	633	species	10364796	43	18	0.0
Edwardsiella	635	genus	0	2	1	0.0
Edwardsiella tarda	636	species	4957945	42	20	0.0
Vibrionaceae	641	family	0	2	0	0.0
Aeromonas	642	genus	0	8	4	0.0
Aeromonas hydrophila	644	species	8284946	82	43	0.0
Aeromonas salmonicida	645	species	8702641	71	20	0.0
Aeromonas caviae	648	species	4518310	8	2	0.0
Aeromonas media	651	species	4788430	10	5	0.0
Aeromonas schubertii	652	species	4400034	7	4	0.0
Aeromonas veronii	654	species	11743161	42	32	0.0
Vibrio	662	genus	0	4	2	0.0
Vibrio alginolyticus	663	species	37918770	49	27	0.0
Vibrio cholerae	666	species	12622139	62	38	0.0
Aliivibrio fischeri	668	species	4273718	28	23	0.0
Vibrio harveyi	669	species	24177087	27	17	0.0
Vibrio parahaemolyticus	670	species	16444666	101	66	0.0
Vibrio vulnificus	672	species	14482894	92	70	0.0
Grimontia hollisae	673	species	3998439	16	13	0.0
